,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1379,0.1283,0.0867,0.6057,0.5119,0.7421,0.1379,0.7745,0.6005,0.2294,0.1005,0.018
BR_SVC,0.0773,0.1177,0.1034,0.4398,0.312,0.7483,0.0773,0.5374,0.3595,0.1198,0.0374,0.0013
BR_DT,0.0322,0.1246,0.145,0.4744,0.5018,0.4502,0.0322,0.7964,0.5425,0.2462,0.0876,0.0181
BR_GNB,0.0,0.1222,0.4078,0.3173,0.7265,0.2032,0.0,0.8995,0.7577,0.4742,0.2268,0.0735
LP_LR,0.1778,0.1284,0.1043,0.5777,0.5481,0.6108,0.1778,0.7577,0.6186,0.2758,0.1469,0.0348
LP_SVC,0.1121,0.1212,0.1278,0.4367,0.3812,0.5116,0.1121,0.6018,0.4601,0.1211,0.0709,0.0181
LP_DT,0.0863,0.1249,0.1442,0.4466,0.4469,0.4464,0.0863,0.6753,0.4691,0.2203,0.1095,0.0245
LP_GNB,0.0966,0.1209,0.1315,0.453,0.4187,0.4939,0.0966,0.6482,0.4575,0.1933,0.0851,0.0181
CC_LR,0.1649,0.1253,0.0861,0.616,0.5302,0.7355,0.1649,0.7732,0.616,0.2461,0.1224,0.0232
CC_SVC,0.085,0.1148,0.104,0.4325,0.3044,0.7497,0.085,0.509,0.3595,0.1211,0.0387,0.0013
CC_DT,0.0374,0.1198,0.1464,0.466,0.4902,0.4443,0.0374,0.7384,0.54,0.2397,0.1095,0.0232
CC_GNB,0.0039,0.1222,0.2581,0.3565,0.5486,0.2643,0.0039,0.799,0.5709,0.3119,0.1173,0.0412
RakelD_LR,0.1301,0.1282,0.0907,0.6096,0.5435,0.6949,0.1301,0.8067,0.6302,0.2616,0.1108,0.0181
RakelD_SVC,0.0799,0.1179,0.1043,0.4288,0.301,0.7516,0.0799,0.5193,0.3454,0.1082,0.0413,0.0026
RakelD_DT,0.0271,0.1216,0.1434,0.4645,0.4777,0.452,0.0271,0.799,0.5103,0.2152,0.0683,0.0155
RakelD_GNB,0.0013,0.1222,0.3224,0.3562,0.6849,0.2408,0.0013,0.8969,0.6958,0.442,0.2023,0.0619
BRkNN,0.1048,0.1254,0.1312,0.4962,0.4932,0.4996,0.1048,0.7298,0.5377,0.2353,0.1324,0.0294
MLkNN,0.1048,0.1254,0.1312,0.4962,0.4932,0.4996,0.1048,0.7298,0.5377,0.2353,0.1324,0.0294
MLTSVM,0.0064,0.1792,0.2014,0.3082,0.3422,0.2811,0.0064,0.6471,0.3364,0.1333,0.0414,0.0092
