,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
accuracy,0.2264957264957265,0.2264957264957265,0.1752136752136752,0.15384615384615385,0.13675213675213677,0.1282051282051282,0.13675213675213677,0.13247863247863248,0.12393162393162394,0.12393162393162394,0.13247863247863248,0.13247863247863248,0.13247863247863248,0.13247863247863248,0.13247863247863248,0.13247863247863248,0.13247863247863248,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.11538461538461539,0.11538461538461539
hamming_score,0.48473594306927636,0.48473594306927636,0.44588251254917916,0.422207576374243,0.41455966872633543,0.3970108002159285,0.39458817535740615,0.39419813330069736,0.3853657145323812,0.3853657145323812,0.37452267580472715,0.37452267580472715,0.37452267580472715,0.3728529898401694,0.3728529898401694,0.3728529898401694,0.3728529898401694,0.347640939307606,0.347640939307606,0.347640939307606,0.347640939307606,0.347640939307606,0.347640939307606,0.347640939307606,0.347640939307606,0.347640939307606,0.347640939307606,0.33853079494105137,0.33853079494105137
hamming_loss,0.1027284681130835,0.1027284681130835,0.0894993894993895,0.07920227920227921,0.07429322813938198,0.06590544871794872,0.05965811965811966,0.05608314867574127,0.051560758082497216,0.051560758082497216,0.04549339549339549,0.04549339549339549,0.04549339549339549,0.03753919940970301,0.03753919940970301,0.03753919940970301,0.03753919940970301,0.0302396878483835,0.0302396878483835,0.0302396878483835,0.0302396878483835,0.0302396878483835,0.0302396878483835,0.0302396878483835,0.0302396878483835,0.0302396878483835,0.0302396878483835,0.020761350548584592,0.020761350548584592
f1_score,0.47207559109942365,0.47207559109942365,0.41251562792011487,0.3618893276826924,0.3378549450057153,0.3093849683304215,0.28403557955765285,0.29328881249572714,0.2680185800851479,0.2680185800851479,0.2708313696060229,0.2708313696060229,0.2708313696060229,0.23669177840090277,0.23669177840090277,0.23669177840090277,0.23669177840090277,0.17633599430899918,0.17633599430899918,0.17633599430899918,0.17633599430899918,0.17633599430899918,0.17633599430899918,0.17633599430899918,0.17633599430899918,0.17633599430899918,0.17633599430899918,0.11983334829094323,0.11983334829094323
recall,0.4543307180335215,0.4543307180335215,0.4097402886103525,0.36606631288974156,0.3592808612655332,0.335470282650084,0.3072358318844544,0.3118748225177366,0.2858727126131178,0.2858727126131178,0.2898205882167195,0.2898205882167195,0.2898205882167195,0.2632959053947799,0.2632959053947799,0.2632959053947799,0.2632959053947799,0.19639811296823495,0.19639811296823495,0.19639811296823495,0.19639811296823495,0.19639811296823495,0.19639811296823495,0.19639811296823495,0.19639811296823495,0.19639811296823495,0.19639811296823495,0.1328442945157088,0.1328442945157088
precision,0.5322033978082747,0.5322033978082747,0.4451930902761308,0.3799818161202381,0.3430838087831147,0.3121165126920832,0.2992165242431342,0.32069966893296104,0.29378526253053333,0.29378526253053333,0.30256697149981737,0.30256697149981737,0.30256697149981737,0.25566377091229664,0.25566377091229664,0.25566377091229664,0.25566377091229664,0.19402758608989806,0.19402758608989806,0.19402758608989806,0.19402758608989806,0.19402758608989806,0.19402758608989806,0.19402758608989806,0.19402758608989806,0.19402758608989806,0.19402758608989806,0.13316576925151627,0.13316576925151627
