,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
accuracy,0.038461538461538464,0.038461538461538464,0.029914529914529916,0.029914529914529916,0.02564102564102564,0.021367521367521368,0.021367521367521368,0.021367521367521368,0.021367521367521368,0.021367521367521368,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.004273504273504274,0.004273504273504274
hamming_score,0.278505291005291,0.278505291005291,0.2611365486365486,0.25468728802062135,0.24667107583774248,0.238829534662868,0.2343694885361552,0.23205976122642788,0.22615655948989283,0.22615655948989283,0.21701261701261698,0.21701261701261698,0.21701261701261698,0.21217948717948718,0.21217948717948718,0.21217948717948718,0.21217948717948718,0.20799755799755795,0.20799755799755795,0.20799755799755795,0.20799755799755795,0.20799755799755795,0.20799755799755795,0.20799755799755795,0.20799755799755795,0.20799755799755795,0.20799755799755795,0.20328991995658663,0.20328991995658663
hamming_loss,0.1042077580539119,0.1042077580539119,0.0855921855921856,0.07160493827160494,0.0645956607495069,0.05522168803418803,0.04917378917378917,0.04642819457634272,0.04240988480118915,0.04240988480118915,0.036441336441336444,0.036441336441336444,0.036441336441336444,0.029791551374285186,0.029791551374285186,0.029791551374285186,0.029791551374285186,0.023225566703827572,0.023225566703827572,0.023225566703827572,0.023225566703827572,0.023225566703827572,0.023225566703827572,0.023225566703827572,0.023225566703827572,0.023225566703827572,0.023225566703827572,0.015578590046675153,0.015578590046675153
f1_score,0.19376273784887246,0.19376273784887246,0.14393803383059098,0.11195180409045964,0.11739418943725674,0.09538277891777111,0.081393304676498,0.07536417099675742,0.06635323750801467,0.06635323750801467,0.07367725318852138,0.07367725318852138,0.07367725318852138,0.05830573993336222,0.05830573993336222,0.05830573993336222,0.05830573993336222,0.04404618397139864,0.04404618397139864,0.04404618397139864,0.04404618397139864,0.04404618397139864,0.04404618397139864,0.04404618397139864,0.04404618397139864,0.04404618397139864,0.04404618397139864,0.028739354080628898,0.028739354080628898
recall,0.16093616793601176,0.16093616793601176,0.11955258189532303,0.09298534147414013,0.0948911608910828,0.07709906822400478,0.06579120488448408,0.06091778230044822,0.053634134416698974,0.053634134416698974,0.0630394578757846,0.0630394578757846,0.0630394578757846,0.0498873407650094,0.0498873407650094,0.0498873407650094,0.0498873407650094,0.037686632425740794,0.037686632425740794,0.037686632425740794,0.037686632425740794,0.037686632425740794,0.037686632425740794,0.037686632425740794,0.037686632425740794,0.037686632425740794,0.037686632425740794,0.024589859455093285,0.024589859455093285
precision,0.3480358453537218,0.3480358453537218,0.2585409136913362,0.20108737731548373,0.21247946113839936,0.17263956217494947,0.1473190930559569,0.1364065676444045,0.12009708673039964,0.12009708673039964,0.11862665435633424,0.11862665435633424,0.11862665435633424,0.09387720848342997,0.09387720848342997,0.09387720848342997,0.09387720848342997,0.07091810858259112,0.07091810858259112,0.07091810858259112,0.07091810858259112,0.07091810858259112,0.07091810858259112,0.07091810858259112,0.07091810858259112,0.07091810858259112,0.07091810858259112,0.046272808436867964,0.046272808436867964
