,0
data_flags,blur
patience,100
batch_size,100
optimizer,Adam
epochs,600
num_labels,26
f1,0.3461
recall,0.2912
precision,0.4291
acc,0.0387
hl,0.1427
emr,0.0387
hs,0.2566
mr1,0.5374
mr2,0.4278
mr3,0.0206
mr4,0.0
mr5,0.0
