,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0026,5.2427e-06,12.541429470746946,245.0,6866.0,7073.0,168.0,0.495471,0.033479095,0.59322035,0.06338119510318926
1,1,0.0003,4.4503e-06,13.21756353133764,208.0,7316.0,6623.0,205.0,0.52424747,0.030449422,0.50363195,0.05742683375483614
2,2,0.0017,4.454e-07,12.386870139684433,199.0,6857.0,7082.0,214.0,0.4916388,0.02733141,0.4818402,0.05172861719228674
3,3,0.0004,7.22e-07,13.119884393154047,188.0,7037.0,6902.0,225.0,0.50341415,0.02651622,0.4552058,0.05011328788104412
4,4,0.0004,4.535e-07,11.747471882746769,255.0,6811.0,7128.0,158.0,0.49233556,0.034538805,0.6174334,0.06541816358862304
5,5,0.0012,3.0735e-06,14.912656197181116,199.0,6865.0,7074.0,214.0,0.4921962,0.027361473,0.4818402,0.0517824615128715
6,6,0.0001,5.914e-07,13.198083192874224,229.0,6966.0,6973.0,184.0,0.5013239,0.031796724,0.5544794,0.06014445080876715
7,7,0.0006,7.9211e-06,13.24167099977151,217.0,6696.0,7243.0,196.0,0.48167503,0.029088471,0.5254237,0.05512510868605984
8,8,0.002,4.655e-07,13.877396510197567,171.0,6703.0,7236.0,242.0,0.47895762,0.02308627,0.41404358,0.0437340132812059
9,9,0.0072,9.0861e-06,13.014993178538788,237.0,6694.0,7245.0,176.0,0.4829292,0.031676024,0.57384986,0.06003800507488997
