,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0007,2.06042e-05,1.1654514441123376,232.0,7284.0,6655.0,181.0,0.5236901,0.033686657,0.5617433,0.06356164806259114
1,1,0.0005,1.1944e-06,1.2034012629435613,186.0,6977.0,6962.0,227.0,0.4990942,0.026021264,0.4503632,0.0491998419124156
2,2,0.0029,9.0924e-06,1.2273671657611163,205.0,6752.0,7187.0,208.0,0.4847408,0.027732683,0.49636805,0.05253043034130407
3,3,0.0058,1.29645e-05,1.1832922177437024,180.0,7260.0,6679.0,233.0,0.51839465,0.026242893,0.43583536,0.04950495324891245
4,4,0.0001,3.2729e-06,1.2611688467172475,214.0,6488.0,7451.0,199.0,0.46697325,0.027919114,0.5181598,0.05298341235628734
5,5,0.0022,1.78802e-05,1.2316840642537825,206.0,6762.0,7177.0,207.0,0.48550725,0.027901936,0.49878934,0.05284761404316435
6,6,0.0002,1.6293e-06,1.233989764482547,196.0,6622.0,7317.0,217.0,0.47505575,0.026088115,0.47457626,0.04945748634424294
7,7,0.0009,5.318e-07,1.2272970462456727,146.0,6815.0,7124.0,267.0,0.4850195,0.020082531,0.3535109,0.03800598679453067
8,8,0.0002,9.4854e-06,1.210718992428902,191.0,6963.0,6976.0,222.0,0.49846712,0.026649924,0.46246973,0.05039577962814338
9,9,0.0001,3.801e-07,1.1747082624679956,175.0,7230.0,6709.0,238.0,0.515956,0.025421267,0.42372882,0.04796491779961696
