,0
data_flags,blur_rain_ref_rot_elastic1
patience,100
batch_size,100
optimizer,Adam
epochs,600
num_labels,26
f1,0.2528
recall,0.179
precision,0.4618
acc,0.0361
hl,0.1336
emr,0.0361
hs,0.1753
mr1,0.3763
mr2,0.2281
mr3,0.0
mr4,0.0
mr5,0.0
