,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0025,8.6267e-06,1.221006472905477,113.0,885.0,867.0,163.0,0.49211046,0.115306124,0.40942028,0.1799363158616942
1,1,0.006,3.192e-07,1.163181940714518,119.0,941.0,811.0,157.0,0.5226824,0.12795699,0.4311594,0.1973466048840478
2,2,0.0006,3.47e-07,1.2586053151350753,140.0,834.0,918.0,136.0,0.48027614,0.13232514,0.5072464,0.20989503486877728
3,3,0.0003,8.507e-07,1.2078522413204877,96.0,866.0,886.0,180.0,0.47435898,0.09775967,0.3478261,0.15262321657730923
4,4,0.0011,1.58005e-05,1.2132489803509834,136.0,852.0,900.0,140.0,0.4871795,0.13127413,0.49275362,0.2073170906431743
5,5,0.0013,8.054e-07,1.2025979207112238,141.0,917.0,835.0,135.0,0.52169627,0.14446722,0.51086956,0.2252396080412001
6,6,0.007,1.32409e-05,1.169075391231439,114.0,953.0,799.0,162.0,0.52613413,0.12486309,0.41304347,0.1917577910048718
7,7,0.0002,2.1712e-06,1.1853160185691638,113.0,960.0,792.0,163.0,0.5290927,0.12486188,0.40942028,0.19136325442194113
8,8,0.0014,3.1686e-06,1.2007642953823774,131.0,927.0,825.0,145.0,0.52169627,0.13702929,0.4746377,0.21266232959454862
9,9,0.0002,1.9993e-06,1.156475577598963,142.0,917.0,835.0,134.0,0.5221894,0.14534289,0.51449275,0.22665603301835874
