,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1353,0.1298,0.0817,0.639,0.555,0.7537,0.1353,0.8235,0.6315,0.2732,0.1263,0.0193
BR_SVC,0.1508,0.1293,0.0811,0.6124,0.4925,0.8102,0.1508,0.7435,0.5554,0.2294,0.1031,0.0219
BR_DT,0.04,0.125,0.1277,0.5252,0.5424,0.5093,0.04,0.8247,0.607,0.2732,0.1018,0.0206
BR_GNB,0.0039,0.1222,0.2903,0.4083,0.7691,0.2781,0.0039,0.9239,0.7861,0.4884,0.2693,0.107
LP_LR,0.2346,0.126,0.0975,0.6094,0.5849,0.6365,0.2346,0.8119,0.6469,0.3028,0.1611,0.0374
LP_SVC,0.192,0.1284,0.1036,0.5636,0.5131,0.6253,0.192,0.7474,0.5709,0.2487,0.1302,0.0219
LP_DT,0.1095,0.1231,0.1407,0.456,0.4529,0.4592,0.1095,0.6765,0.4845,0.2113,0.1134,0.0309
LP_GNB,0.1507,0.122,0.1131,0.5268,0.4838,0.5784,0.1507,0.7178,0.5309,0.241,0.1109,0.0219
CC_LR,0.1908,0.129,0.0804,0.6561,0.5885,0.7422,0.1908,0.8132,0.6714,0.3093,0.1559,0.0309
CC_SVC,0.1817,0.13,0.0826,0.6211,0.5203,0.7713,0.1817,0.7371,0.5915,0.2655,0.1289,0.0232
CC_DT,0.0606,0.1229,0.1289,0.5191,0.5342,0.5049,0.0606,0.7964,0.6069,0.2629,0.1186,0.0181
CC_GNB,0.0064,0.1222,0.2196,0.4435,0.6724,0.331,0.0064,0.875,0.7049,0.4098,0.1985,0.0722
RakelD_LR,0.1379,0.134,0.0845,0.6394,0.5755,0.7196,0.1379,0.8364,0.6598,0.2964,0.1224,0.0232
RakelD_SVC,0.1508,0.1281,0.0829,0.6061,0.4909,0.7935,0.1508,0.7203,0.5541,0.2435,0.1108,0.0193
RakelD_DT,0.0412,0.1241,0.1248,0.5233,0.527,0.5198,0.0412,0.8132,0.576,0.2706,0.1031,0.0168
RakelD_GNB,0.0052,0.1222,0.2302,0.4422,0.7,0.3233,0.0052,0.9175,0.7448,0.424,0.2049,0.0696
BRkNN,0.1691,0.1242,0.1132,0.5655,0.562,0.5692,0.1691,0.773,0.602,0.3226,0.1636,0.0377
MLkNN,0.1691,0.1242,0.1132,0.5655,0.562,0.5692,0.1691,0.773,0.602,0.3226,0.1636,0.0377
MLTSVM,0.0092,0.2125,0.1763,0.3554,0.3706,0.3422,0.0092,0.6682,0.3823,0.1507,0.0478,0.0111
