,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1315,0.1266,0.0858,0.6036,0.501,0.7597,0.1315,0.7771,0.5735,0.2165,0.0967,0.0206
BR_SVC,0.1147,0.1246,0.0908,0.5344,0.4008,0.8032,0.1147,0.6495,0.4652,0.1585,0.0477,0.0181
BR_DT,0.0387,0.1206,0.1356,0.4951,0.5112,0.4804,0.0387,0.8041,0.567,0.2384,0.0889,0.0232
BR_GNB,0.0013,0.1222,0.3436,0.3466,0.699,0.2308,0.0013,0.8904,0.7242,0.4369,0.2165,0.0709
LP_LR,0.1817,0.1285,0.1031,0.5825,0.5516,0.6174,0.1817,0.7758,0.6211,0.2681,0.1417,0.0399
LP_SVC,0.1443,0.1284,0.1178,0.4922,0.4391,0.5605,0.1443,0.6753,0.518,0.1675,0.0838,0.0206
LP_DT,0.0864,0.1218,0.1447,0.4483,0.4515,0.4454,0.0864,0.683,0.4949,0.2101,0.0941,0.027
LP_GNB,0.134,0.1273,0.1223,0.4957,0.4624,0.5347,0.134,0.6985,0.5181,0.2139,0.0992,0.0193
CC_LR,0.1649,0.1315,0.0857,0.6157,0.5268,0.7411,0.1649,0.7642,0.6108,0.2474,0.125,0.0206
CC_SVC,0.1405,0.127,0.0897,0.5536,0.4281,0.7842,0.1405,0.6662,0.4884,0.1778,0.0812,0.0181
CC_DT,0.0592,0.1216,0.1371,0.4975,0.5211,0.4764,0.0592,0.7681,0.5786,0.2668,0.1095,0.0258
CC_GNB,0.009,0.1222,0.2549,0.3757,0.5886,0.276,0.009,0.8273,0.6301,0.3492,0.1288,0.0374
RakelD_LR,0.1585,0.1301,0.0849,0.6152,0.5211,0.7511,0.1585,0.7758,0.6005,0.2474,0.1031,0.0219
RakelD_SVC,0.1211,0.1272,0.0925,0.5265,0.3954,0.7886,0.1211,0.6237,0.4768,0.1521,0.049,0.0193
RakelD_DT,0.0309,0.124,0.1381,0.486,0.5014,0.4716,0.0309,0.8041,0.5541,0.2397,0.067,0.0206
RakelD_GNB,0.0026,0.1222,0.271,0.3862,0.655,0.2742,0.0026,0.8815,0.6817,0.3931,0.1791,0.0606
BRkNN,0.1296,0.1226,0.1263,0.5281,0.5392,0.5178,0.1296,0.7702,0.579,0.2794,0.1461,0.0422
MLkNN,0.1296,0.1226,0.1263,0.5281,0.5392,0.5178,0.1296,0.7702,0.579,0.2794,0.1461,0.0422
MLTSVM,0.0138,0.2022,0.1659,0.3298,0.3112,0.3519,0.0138,0.6029,0.307,0.1057,0.0349,0.0074
