,0
data_flags,rain_ref_rot_elastic1
patience,100
batch_size,100
optimizer,Adam
epochs,600
num_labels,26
f1,0.2114
recall,0.144
precision,0.4389
acc,0.027
hl,0.1341
emr,0.027
hs,0.1421
mr1,0.3016
mr2,0.1843
mr3,0.0
mr4,0.0
mr5,0.0
