,0
data_flags,blur_rain_ref_rot_crop1_elastic1
use_pos_weights,True
pos_weights_factor,1
patience,10
batch_size,124
optimizer,Adam
scheduler,ReduceLROnPlateau
criterion,BCEWithLogitsLoss
epochs,200
best_epoch,45
num_labels,26
TH_TRAIN,0.5
TH_VAL,0.5
TH_TEST,0.5
f1,0.6272
recall,0.7834
precision,0.5234
acc,0.085
hl,0.1214
emr,0.085
hs,0.4859
mr1,0.9356
mr2,0.826
mr3,0.5026
mr4,0.259
mr5,0.0954
