,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1791,0.1295,0.0821,0.6537,0.595,0.7257,0.1791,0.826,0.6495,0.3364,0.1508,0.0348
BR_SVC,0.143,0.1247,0.087,0.5814,0.4641,0.7792,0.143,0.6958,0.5013,0.2255,0.116,0.0193
BR_DT,0.0374,0.123,0.1358,0.4932,0.507,0.4804,0.0374,0.8157,0.5387,0.2397,0.0953,0.0219
BR_GNB,0.0064,0.1232,0.3276,0.3735,0.7481,0.2492,0.0064,0.9124,0.7616,0.482,0.259,0.0928
LP_LR,0.1933,0.1301,0.1061,0.587,0.5794,0.5951,0.1933,0.7835,0.6186,0.3209,0.1804,0.0412
LP_SVC,0.1881,0.1292,0.1123,0.531,0.4889,0.5812,0.1881,0.7023,0.5142,0.2448,0.1417,0.0322
LP_DT,0.1224,0.125,0.1353,0.4798,0.4802,0.4795,0.1224,0.7062,0.4961,0.2487,0.1301,0.0283
LP_GNB,0.1301,0.1264,0.1275,0.4897,0.4709,0.5103,0.1301,0.692,0.4897,0.241,0.1263,0.0258
CC_LR,0.2023,0.1273,0.0837,0.6563,0.614,0.705,0.2023,0.835,0.6585,0.3518,0.1766,0.0374
CC_SVC,0.1508,0.1249,0.0873,0.5834,0.4701,0.7696,0.1508,0.6972,0.5,0.2332,0.1237,0.0219
CC_DT,0.0709,0.1206,0.1361,0.4916,0.505,0.4792,0.0709,0.75,0.549,0.2461,0.1289,0.0232
CC_GNB,0.0129,0.1235,0.2345,0.4032,0.6087,0.3016,0.0129,0.826,0.6366,0.3492,0.1739,0.058
RakelD_LR,0.1559,0.1278,0.0873,0.64,0.5957,0.6914,0.1559,0.8363,0.6366,0.3325,0.1585,0.0361
RakelD_SVC,0.1456,0.1259,0.0881,0.5829,0.4739,0.761,0.1456,0.7139,0.5077,0.2332,0.1134,0.0219
RakelD_DT,0.0387,0.1251,0.1343,0.4958,0.5074,0.4853,0.0387,0.8016,0.5374,0.2423,0.0992,0.0245
RakelD_GNB,0.009,0.122,0.2769,0.3915,0.6837,0.2745,0.009,0.8982,0.6985,0.4201,0.21,0.0696
BRkNN,0.1526,0.1249,0.1184,0.5479,0.5481,0.548,0.1526,0.7638,0.5699,0.3125,0.1673,0.0404
MLkNN,0.1526,0.1249,0.1184,0.5479,0.5481,0.548,0.1526,0.7638,0.5699,0.3125,0.1673,0.0404
MLTSVM,0.0138,0.2172,0.1885,0.3478,0.3825,0.3194,0.0138,0.7022,0.3888,0.1526,0.0496,0.0083
