,0
data_flags,blur_rain_ref_rot_crop1_randaug1_elastic1
use_pos_weights,False
pos_weights_factor,1
patience,10
batch_size,124
optimizer,Adam
scheduler,ReduceLROnPlateau
criterion,BCEWithLogitsLoss
epochs,200
best_epoch,11
num_labels,26
TH_TRAIN,0.5
TH_VAL,0.5
TH_TEST,0.5
f1,0.5395
recall,0.4035
precision,0.8195
acc,0.1134
hl,0.0892
emr,0.1134
hs,0.3924
mr1,0.6946
mr2,0.5502
mr3,0.0773
mr4,0.0348
mr5,0.0052
