,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0023,1.32076e-05,13.825045658991886,191.0,7188.0,6751.0,222.0,0.51414436,0.027513685,0.46246973,0.05193745603628464
1,1,0.0003,7.791e-07,13.358549998356747,193.0,6957.0,6982.0,220.0,0.4981884,0.026898954,0.46731234,0.050869791700272914
2,2,0.0017,1.50459e-05,12.113372191404684,199.0,7057.0,6882.0,214.0,0.5055741,0.028103376,0.4818402,0.05310915809287502
3,3,0.001,2.35376e-05,13.377893888033354,206.0,7280.0,6659.0,207.0,0.52159977,0.030007284,0.49878934,0.056608959521446484
4,4,0.0002,2.6595e-06,14.06815343025403,182.0,7289.0,6650.0,231.0,0.5205546,0.026639344,0.44067797,0.05024154659075785
5,5,0.0006,5.251e-07,13.444759857960236,198.0,6948.0,6991.0,215.0,0.4979097,0.027542079,0.47941887,0.05209155973157266
6,6,0.0024,3.316e-07,11.694512318342161,229.0,7169.0,6770.0,184.0,0.51546824,0.03271896,0.5544794,0.06179169169655874
7,7,0.0098,6.473e-07,12.257043667328663,236.0,6945.0,6994.0,177.0,0.5003484,0.032641772,0.5714286,0.06175586127115385
8,8,0.0036,2.1915e-06,12.515921128101837,213.0,6906.0,7033.0,200.0,0.49602842,0.029395528,0.5157385,0.055620837652696625
9,9,0.0081,7.3899e-06,11.849347579173553,218.0,6709.0,7230.0,195.0,0.4826505,0.029269602,0.527845,0.05546368210640782
