,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0006,4.355e-07,1.1452039602475288,123.0,1807.0,1383.0,197.0,0.54985756,0.08167331,0.384375,0.1347207050831226
1,1,0.0047,7.077e-07,1.267454208471836,166.0,1393.0,1797.0,154.0,0.44415954,0.08456444,0.51875,0.14542268441307232
2,2,0.0017,1.46753e-05,1.1516023660317445,146.0,1734.0,1456.0,174.0,0.5356125,0.09113608,0.45625,0.15192507253407292
3,3,0.0003,5.8923e-06,1.2442253186152532,167.0,1495.0,1695.0,153.0,0.47350428,0.08968851,0.521875,0.15307057742954566
4,4,0.0035,1.598e-05,1.231817480845329,180.0,1453.0,1737.0,140.0,0.46524218,0.09389672,0.5625,0.16092981981401153
5,5,0.0002,4.205e-07,1.1665909809943957,166.0,1648.0,1542.0,154.0,0.5168091,0.097189695,0.51875,0.16370807743246066
6,6,0.0001,3.2936e-06,1.2333706281124017,174.0,1550.0,1640.0,146.0,0.49116808,0.095920615,0.54375,0.16307402972374302
7,7,0.0035,4.227e-07,1.2313756331419334,174.0,1562.0,1628.0,146.0,0.49458688,0.096559376,0.54375,0.16399623350307485
8,8,0.001,1.1832e-06,1.1746416489283242,162.0,1675.0,1515.0,158.0,0.5233618,0.09660108,0.50625,0.16224336853183008
9,9,0.0001,3.3363e-06,1.2705694100795648,176.0,1434.0,1756.0,144.0,0.45868945,0.09109731,0.55,0.15630551641398505
