,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0002,1.34425e-05,8.037768217233511,166.0,1823.0,1904.0,163.0,0.4903846,0.08019324,0.5045593,0.1383909964396379
1,1,0.0047,1.97817e-05,8.061017574408115,175.0,1784.0,1943.0,154.0,0.48298818,0.08262512,0.5319149,0.1430322993481257
2,2,0.0003,3.461e-07,7.828906059265137,200.0,1836.0,1891.0,129.0,0.5019724,0.09564801,0.60790277,0.16528926118701012
3,3,0.0035,3.831e-07,8.469218523074419,141.0,1745.0,1982.0,188.0,0.46499014,0.06641545,0.42857143,0.11500816063383451
4,4,0.0029,3.1651e-06,7.32240664653289,187.0,1664.0,2063.0,142.0,0.45636094,0.083111115,0.56838906,0.1450174577980467
5,5,0.0008,7.336e-07,7.6752040814130735,180.0,1739.0,1988.0,149.0,0.47312623,0.08302583,0.54711246,0.1441730067047132
6,6,0.0009,1.2846e-06,8.808289210001629,182.0,1870.0,1857.0,147.0,0.50591713,0.08925944,0.5531915,0.1537162090071956
7,7,0.0038,2.28072e-05,8.094837164267515,154.0,2017.0,1710.0,175.0,0.5352564,0.08261803,0.4680851,0.14044687099602934
8,8,0.0003,9.005e-07,7.332560710417918,195.0,1838.0,1889.0,134.0,0.50123274,0.09357006,0.5927052,0.16162454528431477
9,9,0.0001,3.137e-07,8.833575444343763,147.0,1780.0,1947.0,182.0,0.4750986,0.07020057,0.44680852,0.1213371888522134
