,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.001,2.5777e-06,0.9936259343073918,149.0,828.0,924.0,127.0,0.48175544,0.138863,0.53985506,0.22090436462632826
1,1,0.0077,7.5524e-06,1.0146414622282371,157.0,771.0,981.0,119.0,0.45759368,0.13796134,0.56884056,0.2220650778433903
2,2,0.0001,4.4412e-06,0.9630237634365376,148.0,850.0,902.0,128.0,0.49211046,0.14095238,0.5362319,0.22322776352564935
3,3,0.0011,9.97e-07,1.050604459566948,140.0,758.0,994.0,136.0,0.4428008,0.12345679,0.5072464,0.19858156397005589
4,4,0.0016,2.7155e-06,0.9129398908370581,132.0,980.0,772.0,144.0,0.54832345,0.1460177,0.47826087,0.22372882496809138
5,5,0.0003,3.394e-07,1.0080230541718311,145.0,790.0,962.0,131.0,0.46104535,0.13098465,0.5253623,0.20968907999918268
6,6,0.0009,5.707e-07,0.9429638966535911,164.0,907.0,845.0,112.0,0.5281065,0.16253717,0.5942029,0.2552529377186862
7,7,0.0074,1.80136e-05,1.0239753203514295,153.0,793.0,959.0,123.0,0.46646944,0.13758993,0.5543478,0.2204610877155231
8,8,0.0001,1.49748e-05,1.0475474290358715,167.0,724.0,1028.0,109.0,0.4393491,0.13974896,0.60507244,0.2270564131168059
9,9,0.0002,8.2283e-06,0.9649940026112093,144.0,879.0,873.0,132.0,0.50443786,0.14159292,0.5217391,0.22273780839285948
