,0
data_flags,base
patience,100
batch_size,100
optimizer,Adam
epochs,600
num_labels,26
f1,0.3519
recall,0.3412
precision,0.3685
acc,0.0168
hl,0.1641
emr,0.0168
hs,0.2463
mr1,0.6263
mr2,0.4536
mr3,0.0748
mr4,0.0
mr5,0.0
