,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0029,1.00473e-05,9.953072547912598,233.0,3736.0,4453.0,158.0,0.46258742,0.04972258,0.5959079,0.09178649079633622
1,1,0.0059,7.2708e-06,11.672982973930162,240.0,4032.0,4157.0,151.0,0.4979021,0.05458267,0.6138107,0.10025062913665152
2,2,0.0002,8.3554e-06,11.799733284192207,189.0,4083.0,4106.0,202.0,0.4979021,0.044004656,0.48337597,0.08066580797716631
3,3,0.0046,1.5753e-05,11.662195939284105,214.0,4181.0,4008.0,177.0,0.5122378,0.050686877,0.5473146,0.09278126495096085
4,4,0.0005,6.1687e-06,12.015776438590807,164.0,4118.0,4071.0,227.0,0.4990676,0.03872491,0.41943735,0.07090358791765555
5,5,0.0046,6.021e-07,11.43360252869435,210.0,3950.0,4239.0,181.0,0.4848485,0.04720162,0.5370844,0.08677685560488327
6,6,0.0091,2.05926e-05,12.56020785600711,168.0,4363.0,3826.0,223.0,0.52808857,0.042063095,0.42966753,0.07662485557046453
7,7,0.0002,6.2539e-06,11.54711200029422,195.0,4382.0,3807.0,196.0,0.5334499,0.04872564,0.49872124,0.08877759568017674
8,8,0.0072,4.7227e-06,12.417817482581507,188.0,4241.0,3948.0,203.0,0.5162005,0.045454547,0.48081842,0.08305721966227585
9,9,0.0065,1.6772e-06,11.532546850351187,213.0,4214.0,3975.0,178.0,0.51596737,0.0508596,0.544757,0.09303342070301102
