,0
data_flags,elastic1
patience,100
batch_size,100
optimizer,Adam
epochs,600
num_labels,26
f1,0.3404
recall,0.2751
precision,0.4472
acc,0.0425
hl,0.1387
emr,0.0425
hs,0.2486
mr1,0.5361
mr2,0.3853
mr3,0.0103
mr4,0.0
mr5,0.0
