,0
data_flags,mtnblur
patience,100
batch_size,100
optimizer,Adam
epochs,600
num_labels,26
f1,0.3286
recall,0.2602
precision,0.4484
acc,0.0374
hl,0.1379
emr,0.0374
hs,0.2376
mr1,0.4974
mr2,0.3737
mr3,0.009
mr4,0.0013
mr5,0.0
