,0
data_flags,blur_rain_ref_rot_crop1_elastic1
patience,100
batch_size,124
optimizer,Adam
epochs,600
num_labels,26
f1,0.264
recall,0.1834
precision,0.509
acc,0.0168
hl,0.1306
emr,0.0168
hs,0.18
mr1,0.5271
mr2,0.0928
mr3,0.0
mr4,0.0
mr5,0.0
