,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0094,4.386e-07,1.228613303257869,192.0,6710.0,7229.0,221.0,0.48090857,0.025872525,0.46489105,0.04901710697076927
1,1,0.0003,1.7828e-05,1.1514106744374983,233.0,7528.0,6411.0,180.0,0.5407609,0.035069235,0.56416464,0.06603372181919964
2,2,0.0057,2.79405e-05,1.2135440508524575,246.0,6901.0,7038.0,167.0,0.49797937,0.03377265,0.5956417,0.06392100551903347
3,3,0.0053,5.5019e-06,1.1796905383085594,187.0,7155.0,6784.0,226.0,0.51156634,0.026825419,0.4527845,0.05065005124265218
4,4,0.0047,7.137e-06,1.1480862513566628,207.0,7515.0,6424.0,206.0,0.5380435,0.03121701,0.50121063,0.05877341997126498
5,5,0.0017,2.0122e-06,1.1913364422626984,214.0,7061.0,6878.0,199.0,0.506898,0.030174844,0.5181598,0.057028646520925146
6,6,0.0003,4.639e-07,1.1950195171894171,175.0,7009.0,6930.0,238.0,0.5005574,0.024630541,0.42372882,0.046554931674444064
7,7,0.0002,3.3425e-06,1.1771303231899555,189.0,7163.0,6776.0,224.0,0.5122631,0.027135678,0.45762712,0.05123339782391918
8,8,0.0026,1.0822e-06,1.214168588320414,224.0,6811.0,7128.0,189.0,0.49017558,0.0304679,0.5423729,0.057694782904924254
9,9,0.0046,1.22812e-05,1.2202344949428852,188.0,6709.0,7230.0,225.0,0.4805602,0.025343759,0.4552058,0.048014304818231705
