,0
data_flags,ref_rot
patience,100
batch_size,400
optimizer,Adam
epochs,600
num_labels,26
f1,0.2648
recall,0.211
precision,0.3557
acc,0.0387
hl,0.1332
emr,0.0387
hs,0.2006
mr1,0.3956
mr2,0.3157
mr3,0.0
mr4,0.0
mr5,0.0
