,0
data_flags,blur_rain_ref_rot_crop1_elastic1
use_pos_weights,False
pos_weights_factor,1
patience,10
batch_size,124
optimizer,Adam
scheduler,ReduceLROnPlateau
criterion,BCEWithLogitsLoss
epochs,200
best_epoch,16
num_labels,26
TH_TRAIN,0.5
TH_VAL,0.5
TH_TEST,0.5
f1,0.5653
recall,0.4339
precision,0.8148
acc,0.1198
hl,0.0868
emr,0.1198
hs,0.4163
mr1,0.7126
mr2,0.5709
mr3,0.1211
mr4,0.058
mr5,0.0039
