,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0002,2.65008e-05,11.427512364509779,206.0,5232.0,5205.0,199.0,0.50156796,0.038070597,0.50864196,0.07083906162184792
1,1,0.0062,1.69695e-05,12.526451942248222,196.0,5273.0,5164.0,209.0,0.50442725,0.036567163,0.48395061,0.06799653010893708
2,2,0.0029,2.0673e-06,13.192420568221655,193.0,5367.0,5070.0,212.0,0.51282054,0.0366711,0.47654322,0.06810162227665054
3,3,0.0008,2.6429e-06,11.353869438171387,213.0,4892.0,5545.0,192.0,0.47085407,0.03699201,0.52592593,0.06912217567276241
4,4,0.001,1.14732e-05,12.335067357772436,201.0,5212.0,5225.0,204.0,0.49926212,0.037043862,0.4962963,0.06894185721375916
5,5,0.0035,3.677e-07,12.322972688919458,186.0,5237.0,5200.0,219.0,0.5001845,0.034533978,0.45925927,0.06423760989832067
6,6,0.0004,2.1163e-06,12.36645285288493,239.0,4764.0,5673.0,166.0,0.46144623,0.04042625,0.5901235,0.07566882858649635
7,7,0.0003,2.1718e-06,12.776003128443008,189.0,5426.0,5011.0,216.0,0.5178934,0.036346152,0.46666667,0.06743977921960197
8,8,0.0032,1.95172e-05,11.888675909775953,200.0,4708.0,5729.0,205.0,0.45268402,0.0337325,0.49382716,0.0631512483586567
9,9,0.0003,1.27397e-05,12.554962158203125,198.0,5368.0,5069.0,207.0,0.5133739,0.037592556,0.4888889,0.06981664302963933
