,0
data_flags,blur_rain_ref_rot_elastic1
patience,100
batch_size,124
optimizer,Adam
epochs,600
num_labels,26
f1,0.1206
recall,0.078
precision,0.2655
acc,0.0154
hl,0.129
emr,0.0154
hs,0.0933
mr1,0.2655
mr2,0.0
mr3,0.0
mr4,0.0
mr5,0.0
