,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1353,0.132,0.0843,0.6323,0.5565,0.7327,0.1353,0.8093,0.5966,0.3003,0.1301,0.0335
BR_SVC,0.0748,0.1134,0.099,0.4737,0.3427,0.771,0.0748,0.5876,0.3415,0.1431,0.0683,0.0103
BR_DT,0.0361,0.1219,0.1325,0.4948,0.498,0.492,0.0361,0.7861,0.5283,0.2461,0.0928,0.0245
BR_GNB,0.0,0.1222,0.3369,0.3694,0.7568,0.2445,0.0,0.9227,0.7654,0.4897,0.2655,0.0928
LP_LR,0.1649,0.1267,0.116,0.545,0.5332,0.5577,0.1649,0.759,0.5696,0.2655,0.1521,0.0412
LP_SVC,0.143,0.1301,0.1224,0.4746,0.4244,0.539,0.143,0.6637,0.451,0.1765,0.0992,0.0245
LP_DT,0.0799,0.1265,0.1407,0.4497,0.442,0.4578,0.0799,0.6856,0.4717,0.201,0.1031,0.0245
LP_GNB,0.1314,0.1205,0.1268,0.4731,0.4378,0.5149,0.1314,0.6701,0.4536,0.2204,0.1005,0.0193
CC_LR,0.1585,0.1239,0.0848,0.6415,0.5828,0.7138,0.1585,0.8118,0.6314,0.3132,0.1623,0.0387
CC_SVC,0.0825,0.1073,0.0993,0.4701,0.3388,0.7707,0.0825,0.5657,0.3402,0.1482,0.0735,0.0103
CC_DT,0.0593,0.1235,0.1328,0.4946,0.4987,0.4908,0.0593,0.7578,0.5373,0.241,0.116,0.0258
CC_GNB,0.0052,0.1222,0.2349,0.4081,0.6216,0.304,0.0052,0.8518,0.6559,0.3492,0.161,0.0631
RakelD_LR,0.125,0.1265,0.0891,0.6234,0.5664,0.694,0.125,0.8183,0.6134,0.3003,0.1417,0.0309
RakelD_SVC,0.0812,0.1184,0.0989,0.4854,0.359,0.7537,0.0812,0.6095,0.357,0.1559,0.0683,0.0155
RakelD_DT,0.031,0.1221,0.1373,0.4744,0.4758,0.4735,0.031,0.7809,0.4923,0.2178,0.0928,0.0206
RakelD_GNB,0.0013,0.1222,0.2811,0.3823,0.6669,0.2682,0.0013,0.8866,0.6997,0.4137,0.1804,0.0606
BRkNN,0.1296,0.1255,0.128,0.5045,0.497,0.5123,0.1296,0.7206,0.5129,0.262,0.1443,0.0386
MLkNN,0.1296,0.1255,0.128,0.5045,0.497,0.5123,0.1296,0.7206,0.5129,0.262,0.1443,0.0386
MLTSVM,0.0074,0.2057,0.1999,0.3395,0.3918,0.2998,0.0074,0.7022,0.3934,0.1645,0.0616,0.011
