,0
data_flags,blur_rain_ref_rot_crop1_randaug1_elastic1
use_pos_weights,True
pos_weights_factor,1
patience,10
batch_size,124
optimizer,Adam
scheduler,ReduceLROnPlateau
criterion,BCEWithLogitsLoss
epochs,200
best_epoch,48
num_labels,26
TH_TRAIN,0.5
TH_VAL,0.5
TH_TEST,0.5
f1,0.6369
recall,0.7738
precision,0.5417
acc,0.0863
hl,0.115
emr,0.0863
hs,0.4928
mr1,0.9304
mr2,0.8209
mr3,0.4936
mr4,0.259
mr5,0.0876
