,0
data_flags,rot
patience,100
batch_size,124
optimizer,Adam
epochs,600
num_labels,26
f1,0.178
recall,0.1413
precision,0.2404
acc,0.0387
hl,0.1317
emr,0.0387
hs,0.1499
mr1,0.2693
mr2,0.2113
mr3,0.0
mr4,0.0
mr5,0.0
