,0
data_flags,mtnblur
patience,100
batch_size,124
optimizer,Adam
epochs,600
num_labels,26
f1,0.3536
recall,0.2813
precision,0.4762
acc,0.0529
hl,0.1339
emr,0.0529
hs,0.2669
mr1,0.5322
mr2,0.4201
mr3,0.0
mr4,0.0
mr5,0.0
