,0
data_flags,ref
patience,100
batch_size,100
optimizer,Adam
epochs,600
num_labels,26
f1,0.3061
recall,0.2342
precision,0.4478
acc,0.0335
hl,0.1378
emr,0.0335
hs,0.2184
mr1,0.4639
mr2,0.3235
mr3,0.0052
mr4,0.0
mr5,0.0
