,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0021,4.183e-07,5.867803830366868,167.0,825.0,927.0,109.0,0.48915187,0.15265082,0.60507244,0.24379560820789828
1,1,0.0004,7.3048e-06,6.1587168131119165,130.0,860.0,892.0,146.0,0.48816568,0.12720157,0.4710145,0.20030817823123828
2,2,0.0016,1.1605e-06,6.114278096419114,125.0,853.0,899.0,151.0,0.4822485,0.12207031,0.45289856,0.19230769230769232
3,3,0.0036,2.42129e-05,6.269192573351738,121.0,902.0,850.0,155.0,0.50443786,0.1246138,0.4384058,0.19406574406552174
4,4,0.0001,1.2327e-06,6.462490473038111,127.0,1109.0,643.0,149.0,0.60946745,0.16493507,0.46014494,0.24282983516323195
5,5,0.0026,6.714e-07,7.028574796823355,110.0,944.0,808.0,166.0,0.5197239,0.119825706,0.39855072,0.1842546027538737
6,6,0.0035,1.9428e-06,5.866332457615779,151.0,851.0,901.0,125.0,0.49408284,0.14353612,0.54710144,0.22740963647460735
7,7,0.0018,5.965e-07,5.810609047229474,149.0,853.0,899.0,127.0,0.49408284,0.14217557,0.53985506,0.22507554025208487
8,8,0.0004,2.14243e-05,5.8529510008983126,145.0,777.0,975.0,131.0,0.4546351,0.12946428,0.5253623,0.20773639705276645
9,9,0.0001,1.3621e-06,5.568242647708991,181.0,678.0,1074.0,95.0,0.42357,0.14422311,0.6557971,0.23644676784100743
