,0
data_flags,rain_ref_rot_elastic1
patience,100
batch_size,124
optimizer,Adam
epochs,600
num_labels,26
f1,0.172
recall,0.1372
precision,0.2307
acc,0.0322
hl,0.1332
emr,0.0322
hs,0.1389
mr1,0.2616
mr2,0.1997
mr3,0.0
mr4,0.0
mr5,0.0
